koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_steff,koi_srad,koi_kepmag
CONFIRMED,16.08518937,180.28319,3.984,1.44E+03,3.68,62.6,5239,0.826,15.219
CANDIDATE,235.9986399,208.399822,8.2284,2.07E+04,10.59,271.8,4245,0.657,15.172
CONFIRMED,7.49018305,174.95037,2.7297,1.12E+03,2.56,53,5103,0.787,15.599
CONFIRMED,36.2761238,201.2869,4.7865,1.57E+03,3.03,45.5,5103,0.787,15.599
CONFIRMED,17.46087931,137.26594,2.2641,8.12E+02,2.32,22.6,5103,0.787,15.599
CONFIRMED,56.0560754,201.16578,4.685,1.63E+03,1.94,27.4,3593,0.491,15.849
CONFIRMED,41.40831669,195.78745,5.0264,2.28E+04,11.38,907.8,5522,0.747,15.196
CANDIDATE,39.74893077,172.854644,7.3051,1.52E+04,14.21,561.1,6122,0.964,15.344
CONFIRMED,5.715425977,174.87931,2.5242,9.08E+02,2.47,59.4,5237,0.826,15.086
CONFIRMED,49.18394185,141.911924,11.3364,1.65E+03,8.2,355.7,5626,2.057,12.654
CONFIRMED,20.0261412,146.91109,1.611,4.21E+02,2.28,10.7,5237,0.826,15.086
CANDIDATE,13.61014819,173.987319,2.594,5.73E+03,19.02,184.1,5697,0.903,15.06
FALSE POSITIVE,10.44331991,175.4046,2.743,1.16E+03,2.66,51.7,4947,0.802,15.546
CONFIRMED,2.237489571,170.81914,1.8119,3.16E+02,1.41,30.7,5265,0.81,15.001
FALSE POSITIVE,5.851520671,173.8228336,3.11058,3.30E+04,14.62,1630.4,5532,0.806,15.33
CONFIRMED,3.167893418,172.147959,2.1814,7.81E+02,2.62,64.8,5895,0.94,15.533
CONFIRMED,4.311780262,173.576483,2.7251,1.15E+03,3.11,86.1,5527,0.927,15.604
CONFIRMED,20.0504494,188.08821,4.556,8.41E+02,2.69,37.8,5527,0.927,15.604
CONFIRMED,9.76734503,186.57718,1.6585,5.69E+02,2.67,21.1,5527,0.927,15.604
CANDIDATE,119.0207044,222.236492,8.1405,7.43E+03,8.98,223.5,5453,1.062,15.085
CONFIRMED,190.3200468,312.68498,15.284,1.14E+03,7.78,139.3,5626,2.057,12.654
FALSE POSITIVE,2.861159894,171.648106,1.8832,1.01E+03,4.37,58.3,6126,1.021,15.618
CONFIRMED,26.44439337,194.12074,3.9783,1.84E+03,3.91,88,5427,0.929,15.158
CONFIRMED,51.53997972,174.055011,6.3994,3.64E+03,5.51,155.5,5427,0.929,15.158
CONFIRMED,5.902245782,136.78393,2.9003,7.02E+02,2.43,59.3,5427,0.929,15.158
CONFIRMED,2.382951591,135.080841,1.8876,3.92E+02,1.86,41.4,5427,0.929,15.158
CONFIRMED,21.02250608,207.67593,4.1072,1.77E+03,3.07,62.4,5067,0.75,15.859
CONFIRMED,3.219814777,133.00406,2.0642,4.88E+02,1.69,30.5,5103,0.787,15.599
CONFIRMED,5.912273234,172.184012,2.3254,9.61E+02,1.73,62.8,4072,0.57,15.036
CONFIRMED,8.98581901,175.68418,2.8606,8.81E+02,1.65,51.8,4072,0.57,15.036
CANDIDATE,12.94066866,179.423014,2.4845,4.25E+04,22.94,307.5,5875,0.809,15.215
FALSE POSITIVE,20.5452375,137.91394,2.517,2.19E+02,2.41,18.5,5670,1.264,12.003
CONFIRMED,33.60123371,186.680343,4.4056,7.43E+03,8.46,247.9,5149,0.93,15.262
CONFIRMED,6.76652928,138.0637,2.9004,4.51E+02,1.97,29.2,5149,0.93,15.262
CONFIRMED,4.347288783,172.23343,2.1024,4.52E+02,2.36,39.7,5754,1.122,15.024
CONFIRMED,4.601811819,169.98108,2.2607,7.56E+02,2.35,60.8,4986,0.833,15.024
CONFIRMED,11.18719905,137.17814,3.252,3.54E+02,1.55,21.9,4986,0.833,15.024
CONFIRMED,4.220965778,170.622433,3.0854,2.26E+03,2.62,157.8,3837,0.517,15.692
FALSE POSITIVE,6.998099523,171.898913,2.0488,2.03E+04,588.66,192.3,5612,0.829,15.877
CONFIRMED,5.95489993,170.955871,2.3892,1.41E+03,2.33,87.2,4261,0.633,15.019
CONFIRMED,12.03987488,181.22536,2.7363,1.25E+03,2.18,57.6,4261,0.633,15.019
CONFIRMED,20.83762895,132.08488,2.3734,4.39E+02,1.42,14.9,4261,0.633,15.019
FALSE POSITIVE,8.8111022,136.4568,5.0683,4.01E+02,63.66,76.8,6200,2.404,12.759
CONFIRMED,23.58917143,173.81994,5.073,1.20E+03,3.16,53.3,4919,0.721,15.316
CONFIRMED,6.481633073,122.977657,3.784,2.99E+02,2.54,125.6,5945,1.302,12.365
CONFIRMED,10.37168928,172.61729,3.035,1.25E+03,3.2,64.5,5121,0.888,15.193
CONFIRMED,3.96996298,137.75447,1.1757,2.99E+02,1.78,15,5121,0.888,15.193
CONFIRMED,4.40841331,172.18582,5.012,5.49E+02,2.66,45.1,6007,0.961,15.662
FALSE POSITIVE,7.9426176,174.52563,6.703,1.59E+03,4.68,60.4,5811,0.926,15.26
CONFIRMED,226.8904775,207.35971,7.558,3.14E+03,4.53,46.8,5067,0.75,15.859
FALSE POSITIVE,1.956811408,170.694208,2.1958,2.49E+04,21.58,125.4,5209,0.603,15.533
CANDIDATE,2.688899233,170.1020904,2.11275,3.75E+04,12.04,1011.6,4820,0.639,15.766
CONFIRMED,9.439459486,177.186096,2.8979,3.04E+03,4.16,175.2,5097,0.779,15.067
CONFIRMED,11.52306746,131.969055,3.8757,5.07E+02,3.13,142,5644,1.411,12.346
CONFIRMED,20.47748843,178.66786,2.8364,1.38E+03,2.92,52.7,5097,0.779,15.067
CONFIRMED,3.336123113,135.31623,1.9616,5.16E+02,1.74,41.6,5097,0.779,15.067
CONFIRMED,8.01078456,170.20739,2.312,1.33E+03,1.72,48.5,3713,0.47,15.847
CONFIRMED,12.07134205,143.45948,4.3224,7.59E+02,1.29,31,3713,0.47,15.847
CONFIRMED,20.99587872,152.31554,2.6333,7.67E+02,1.3,18.2,3713,0.47,15.847
CONFIRMED,7.41113177,175.34754,2.5242,6.21E+02,2.45,50.4,5849,0.919,15.031
FALSE POSITIVE,1.000747038,169.974229,0.9967,1.82E+03,4.14,147.4,5472,0.79,15.419
CONFIRMED,8.884922995,169.991686,2.07004,1.61E+04,10.51,388.2,5332,0.843,15.264
CONFIRMED,8.09888906,176.623731,4.20241,6.91E+03,8.95,435.9,6214,1.076,15.261
CONFIRMED,10.00653012,176.96898,5.344,9.36E+02,3.52,71.9,6063,1.001,15.063
